12.560475,[-0.45141464  0.16260895 -1.37297893],[-0.91961509  0.29513845 -0.64155966]
12.5676269,[-0.45105216  0.16246736 -1.37259078],[-0.92004359  0.29590103 -0.64179933]
12.5749116,[-0.45070833  0.16231318 -1.37219048],[-0.92048943  0.29677284 -0.64204109]
12.5818492,[-0.45054731  0.1622283  -1.37199485],[-0.92073131  0.29726323 -0.64219546]
12.58973,[-0.45026568  0.16207123 -1.37162089],[-0.92121226  0.2982516  -0.64254266]
12.5974658,[-0.44998911  0.16185756 -1.37128818],[-0.92170644  0.29929516 -0.64296359]
12.6050673,[-0.44970918  0.16166879 -1.37096786],[-0.92220372  0.30043992 -0.6434679 ]
12.6124707,[-0.44944352  0.16146562 -1.37063873],[-0.92269254  0.30155513 -0.64398795]
12.6192023,[-0.44931641  0.16135389 -1.37048233],[-0.92293108  0.30211726 -0.64428341]
12.6272894,[-0.44905302  0.16115269 -1.37017226],[-0.92341357  0.30327532 -0.64490068]
12.6343033,[-0.44880873  0.16095395 -1.36988354],[-0.9238494   0.30438712 -0.64556593]
12.6416676,[-0.44859868  0.16074893 -1.36960435],[-0.92426234  0.30553821 -0.64627105]
12.6484692,[-0.44850042  0.16065879 -1.36946869],[-0.9244563   0.30608758 -0.64661396]
12.6562758,[-0.44833449  0.16046815 -1.36920226],[-0.92486382  0.30722141 -0.64734757]
12.6633451,[-0.44819242  0.16029012 -1.36893916],[-0.92531532  0.30830881 -0.64817584]
12.6707585,[-0.4480494   0.16011263 -1.3686918 ],[-0.92568934  0.3095324  -0.64897251]
12.6776111,[-0.4479849   0.16002078 -1.36856842],[-0.92591786  0.31013343 -0.6493963 ]
12.6854758,[-0.4478724   0.15983999 -1.36832988],[-0.92637414  0.31132445 -0.65032041]
12.6932738,[-0.44775799  0.15964811 -1.36807823],[-0.92685908  0.31257176 -0.65125245]
12.7006045,[-0.44765094  0.15946145 -1.36782622],[-0.9273628   0.31377715 -0.6521529 ]
12.7080853,[-0.44757238  0.15929577 -1.3675648 ],[-0.92787665  0.31500277 -0.65308768]
12.7151362,[-0.44754571  0.15921733 -1.36743903],[-0.9281283   0.31557533 -0.6535244 ]
12.723353,[-0.447501    0.15905736 -1.36717904],[-0.92862558  0.31673032 -0.6543743 ]
12.7315204,[-0.44749004  0.1589435  -1.36689889],[-0.92911869  0.31779283 -0.65515649]
12.7400813,[-0.44749865  0.15881304 -1.36667132],[-0.92962259  0.31874302 -0.65594304]
12.7481308,[-0.44751722  0.15875264 -1.36639714],[-0.93005002  0.31969291 -0.65657073]
12.7567152,[-0.44753879  0.15877651 -1.3660748 ],[-0.93048644  0.32057005 -0.65721381]
12.7647092,[-0.44759095  0.1587753  -1.3657943 ],[-0.9309206   0.32127655 -0.65780926]
12.7714145,[-0.4476566   0.15880841 -1.36550164],[-0.93131495  0.32204968 -0.65830284]
12.7790391,[-0.44773403  0.15888639 -1.36519015],[-0.93172348  0.32278699 -0.65876579]
12.7857868,[-0.44778642  0.15893179 -1.36502492],[-0.93191636  0.32314855 -0.65901244]
12.7938015,[-0.44788879  0.15903953 -1.3646878 ],[-0.93232661  0.32378799 -0.65947944]
12.8008845,[-0.44799989  0.15916374 -1.3643688 ],[-0.93274248  0.32440615 -0.65985882]
12.8082758,[-0.44813755  0.15931956 -1.36403775],[-0.93305397  0.32512054 -0.66015714]
12.8150653,[-0.44820842  0.15941584 -1.36387587],[-0.93321562  0.32544646 -0.66030276]
12.8229931,[-0.44834861  0.15961309 -1.36354232],[-0.93350536  0.32603225 -0.66055387]
12.8313156,[-0.44850692  0.15983741 -1.36319864],[-0.93377048  0.32655472 -0.66073686]
12.8383518,[-0.44867831  0.1600652  -1.3628757 ],[-0.93399704  0.32705939 -0.66089672]
12.8457782,[-0.44884878  0.16033773 -1.36253572],[-0.93419123  0.32757494 -0.66102642]
