9.6139607,[-0.44114122  0.15070742 -1.25867784],[-0.99888188  0.38331354 -0.64836997]
9.6219472,[-0.4411763   0.1508085  -1.25868356],[-0.99899733  0.38370684 -0.64835083]
9.6290195,[-0.44122708  0.150924   -1.25868917],[-0.99926835  0.38431227 -0.64825726]
9.636377,[-0.44128162  0.15103345 -1.25867927],[-0.99952614  0.38487864 -0.6481958 ]
9.6433203,[-0.44131425  0.15108562 -1.25867188],[-0.99963683  0.38514918 -0.6481846 ]
9.6506462,[-0.44136959  0.15118192 -1.25865281],[-0.99989295  0.38573271 -0.64813095]
9.6577613,[-0.44142768  0.15127757 -1.25861132],[-1.00019383  0.38636738 -0.64802635]
9.665527,[-0.44147658  0.15138961 -1.25856662],[-1.00045824  0.38696945 -0.64801478]
9.6724007,[-0.44150296  0.15145101 -1.25854027],[-1.00063252  0.38732705 -0.64793813]
9.6804976,[-0.44155267  0.15157013 -1.2584722 ],[-1.00089109  0.38792035 -0.64791524]
9.6873231,[-0.44161025  0.15167263 -1.2584058 ],[-1.00125837  0.38866845 -0.64786565]
9.6947162,[-0.44166225  0.15176643 -1.25834036],[-1.0015204   0.38925526 -0.64785117]
9.7016369,[-0.44169894  0.15181206 -1.25830793],[-1.00162888  0.3895632  -0.64789724]
9.7088427,[-0.44176912  0.15191391 -1.25824654],[-1.00201774  0.39036918 -0.64780474]
9.7150969,[-0.44184771  0.15201341 -1.25817919],[-1.00234342  0.39106587 -0.64778209]
9.7221254,[-0.4418852   0.152068   -1.25813687],[-1.00241482  0.39129367 -0.64784712]
9.7290228,[-0.44195026  0.152165   -1.25804186],[-1.00264466  0.39188224 -0.64793509]
9.7365127,[-0.44202515  0.15227914 -1.25793612],[-1.00289321  0.39252165 -0.64795119]
9.7443148,[-0.44210225  0.15238984 -1.25781786],[-1.00313389  0.39314058 -0.64803129]
9.7514108,[-0.44214132  0.15245262 -1.25775385],[-1.00328469  0.39354843 -0.64804304]
9.7582099,[-0.44222575  0.1525742  -1.2576052 ],[-1.00346875  0.39409027 -0.64808553]
9.7654589,[-0.44231367  0.15270805 -1.25743282],[-1.00357533  0.39460754 -0.64825338]
9.7724188,[-0.44236293  0.15278353 -1.25733435],[-1.0036546   0.39488867 -0.64828354]
9.780466,[-0.442462    0.15294221 -1.25713444],[-1.00378656  0.39551315 -0.64835119]
9.7873636,[-0.44256335  0.15309936 -1.25692892],[-1.00386107  0.39612377 -0.64841306]
9.7946282,[-0.44266322  0.15323947 -1.25673175],[-1.00392866  0.39673188 -0.64847463]
9.8016709,[-0.44271305  0.15332636 -1.25662148],[-1.00394034  0.39702988 -0.64850438]
