[0.0, 0.09421348571777344]
[-0.09578409194946147, 0.10295867919921875]
[-0.10524168014526225, 0.09518623352050781]
[-0.0957377433776827, 0.10141372680664062]
[-0.09595727920532227, 0.10816574096679688]
[-0.09566297531127788, 0.10084152221679688]
[-0.09566173553466939, 0.09931564331054688]
[-0.10533809661865234, 0.10775566101074219]
[-0.10527343750000284, 0.10109901428222656]
[-0.10511293411254741, 0.09436607360839844]
[-0.11482563018798686, 0.10159492492675781]
[-0.11491498947142986, 0.10233879089355469]
[-0.10514488220214702, 0.0940704345703125]
[-0.1051609039306598, 0.10020256042480469]
[-0.11486368179321005, 0.10575294494628906]
[-0.09590740203856996, 0.09832382202148438]
[-0.0765506744384652, 0.09695053100585938]
[-0.07646093368529705, 0.10578155517578125]
[-0.07651443481444176, 0.09832382202148438]
[-0.05731906890868288, 0.09172439575195312]
[-0.05741004943845951, 0.09875297546386719]
[-0.04793090820311363, 0.09907722473144531]
[-0.05732946395873739, 0.09124755859375]
[-0.05729751586913778, 0.09778022766113281]
[-0.06693506240844727, 0.10422706604003906]
[-0.0669291496276827, 0.09706497192382812]
[-0.057498645782473545, 0.09599685668945312]
[-0.0668644905090261, 0.10460853576660156]
[-0.06684808731078817, 0.09744644165039062]
[-0.06686964035034038, 0.09111404418945312]
[-0.06683216094970135, 0.09827613830566406]
[-0.07647380828856853, 0.09832382202148438]
[-0.08578691482543377, 0.09007453918457031]
[-0.07635812759398419, 0.09614944458007812]
[-0.07617053985595135, 0.1032257080078125]
[-0.08571882247924378, 0.09446144104003906]
[-0.08576946258544638, 0.09370803833007812]
[-0.07610673904418519, 0.1021575927734375]
[-0.08557710647581729, 0.09419441223144531]
[-0.08561105728148988, 0.0870513916015625]
[-0.09512577056884908, 0.09426116943359375]
[-0.09523315429687074, 0.09407997131347656]
[-0.09531373977659996, 0.08672714233398438]
[-0.08576717376708842, 0.0946044921875]
[-0.08564939498901225, 0.10112762451171875]
[-0.07599020004272461, 0.09403228759765625]
[-0.076047611236568, 0.09276390075683594]
[-0.06666307449339826, 0.10183334350585938]
[-0.06661996841430096, 0.09508132934570312]
[-0.06656684875488139, 0.088348388671875]
[-0.07606515884399556, 0.09537696838378906]
[-0.07611827850341513, 0.09556770324707031]
[-0.07610912322998331, 0.08775711059570312]
[-0.07609672546387003, 0.095062255859375]
[-0.07619686126708558, 0.10076522827148438]
[-0.06656084060668377, 0.09319305419921875]
[-0.0571531295776353, 0.09233474731445312]
[-0.06696157455444762, 0.10132789611816406]
[-0.07638683319091655, 0.09387016296386719]
[-0.0763796806335364, 0.08775711059570312]
[-0.0765133857726994, 0.09482383728027344]
[-0.07647943496704102, 0.09495735168457031]
[-0.08616180419920738, 0.08698463439941406]
[-0.08613471984862286, 0.09447097778320312]
[-0.09566011428832155, 0.10075569152832031]
[-0.09591846466064169, 0.09407997131347656]
[-0.09570684432982546, 0.09383201599121094]
[-0.10500392913817791, 0.10263442993164062]
[-0.10521793365477805, 0.09481430053710938]
[-0.10512733459472656, 0.08896827697753906]
[-0.1145777702331543, 0.09608268737792969]
[-0.11465711593627503, 0.09663581848144531]
[-0.12389125823974467, 0.08853912353515625]
[-0.12380456924437766, 0.09599685668945312]
[-0.13334035873412375, 0.1019287109375]
[-0.12372426986693341, 0.09484291076660156]
[-0.12369499206543111, 0.09442329406738281]
[-0.13331422805785564, 0.1032257080078125]
[-0.12389049530028018, 0.09555816650390625]
[-0.114215660095212, 0.08978843688964844]
[-0.12386407852171999, 0.09685516357421875]
[-0.12405881881713299, 0.09630203247070312]
[-0.11445589065550621, 0.08835792541503906]
[-0.11429386138915021, 0.09584426879882812]
[-0.1238739967346163, 0.10163307189941406]
[-0.12384719848632386, 0.09501457214355469]
[-0.1238560676574636, 0.09530067443847656]
[-0.14299926757811932, 0.10374069213867188]
[-0.14298324584960653, 0.09586334228515625]
[-0.14299964904784446, 0.09036064147949219]
[-0.14314374923705486, 0.0977325439453125]
[-0.1431489944458022, 0.09729385375976562]
[-0.1430583953857365, 0.08936882019042969]
[-0.1432364463806124, 0.0971221923828125]
[-0.1527603149413963, 0.10265350341796875]
[-0.14320850372313032, 0.09573936462402344]
[-0.15282335281371218, 0.09591102600097656]
[-0.13376331329344993, 0.10478019714355469]
[-0.13366708755491885, 0.09683609008789062]
[-0.1336921691894517, 0.09151458740234375]
[-0.12405052185057741, 0.0986480712890625]
[-0.12414503097533469, 0.09782791137695312]
[-0.12394857406616211, 0.08963584899902344]
[-0.12395935058593466, 0.09758949279785156]
[-0.1241038322448631, 0.10273933410644531]
[-0.12405548095703267, 0.09580612182617188]
[-0.11435270309448242, 0.09634971618652344]
[-0.12401866912841086, 0.10506629943847656]
[-0.12417917251585919, 0.09703636169433594]
[-0.12412605285644673, 0.09160995483398438]
[-0.13385992050170614, 0.09879112243652344]
[-0.13368349075317099, 0.09768486022949219]
[-0.14332637786864666, 0.08973121643066406]
[-0.14331207275390767, 0.09762763977050781]
[-0.14334802627563192, 0.10280609130859375]
[-0.14336366653441956, 0.0958251953125]
[-0.1241455078124929, 0.09660720825195312]
[-0.14327630996704244, 0.10528564453125]
[-0.14304885864257244, 0.097198486328125]
[-0.13342561721801616, 0.09205818176269531]
[-0.14298467636108825, 0.09928703308105469]
[-0.12380170822142844, 0.0977325439453125]
[-0.13335561752318625, 0.08965492248535156]
[-0.13320035934447105, 0.09757041931152344]
[-0.13315172195433433, 0.10251045227050781]
[-0.13313055038451438, 0.09622573852539062]
[-0.12350769042968324, 0.0970458984375]
[-0.14259691238402894, 0.105743408203125]
[-0.14269351959227095, 0.09766578674316406]
[-0.1520102500915499, 0.09259223937988281]
[-0.16161594390868572, 0.09995460510253906]
[-0.1522441864013544, 0.09836196899414062]
[-0.15200500488280255, 0.09052276611328125]
[-0.15206413269042685, 0.09852409362792969]
[-0.16182508468627077, 0.10325431823730469]
[-0.16170377731322816, 0.09644508361816406]
[-0.16175050735473206, 0.09770393371582031]
[-0.17140407562256144, 0.10622978210449219]
[-0.17141523361205913, 0.09769439697265625]
[-0.16194849014282653, 0.09228706359863281]
[-0.1619855880737262, 0.098724365234375]
[-0.1621551513671733, 0.09749412536621094]
[-0.15256109237670756, 0.0893402099609375]
