[0.0, 0.16839981079101562]
[1.5851376533508272, 2.044954299926758]
[1.6328287124633718, 2.050161361694336]
[1.6805002212524442, 2.081480026245117]
[1.7474665641784668, 2.1082592010498047]
[1.8240485191345215, 2.1774959564208984]
[1.9003159523010211, 2.239866256713867]
[1.9768995285034165, 2.2827816009521484]
[2.053300666809072, 2.305889129638672]
[2.1392671585083036, 2.3302268981933594]
[2.224973011016843, 2.3398399353027344]
[2.311178302764894, 2.3531055450439453]
[2.4065194129943777, 2.385110855102539]
[2.492441177368164, 2.410135269165039]
[2.5688463211059585, 2.4396324157714844]
[2.664405345916748, 2.44140625]
[2.7502357482910114, 2.4486351013183594]
[2.826547527313231, 2.4630355834960938]
[2.9219232559204116, 2.4828720092773438]
[3.007781505584717, 2.5137996673583984]
[3.112891483306882, 2.5374507904052734]
[3.217970371246338, 2.556924819946289]
[3.3326496124267635, 2.5871753692626953]
[3.4471041679382353, 2.6096057891845703]
[3.5524024963378906, 2.622966766357422]
[3.695873260498047, 2.6553916931152344]
[3.8391384124755845, 2.6584243774414062]
[3.973168277740484, 2.6828861236572266]
[4.1070190429687585, 2.7002620697021484]
[4.259979248046868, 2.7144908905029297]
[4.3938865661621165, 2.718219757080078]
[4.527740764617917, 2.712116241455078]
[4.652058410644528, 2.7188777923583984]
[4.756882381439212, 2.7315139770507812]
[4.871577548980717, 2.738046646118164]
[4.9672226905822825, 2.7456092834472656]
[5.062680244445794, 2.7583980560302734]
[5.148644733428952, 2.7645015716552734]
[5.244248104095455, 2.769145965576172]
[5.330140972137457, 2.776956558227539]
[5.416100788116459, 2.791452407836914]
[5.502175807952881, 2.795381546020508]
[5.607281017303471, 2.7991676330566406]
[5.702862834930421, 2.810688018798828]
[5.8174335479736285, 2.822732925415039]
[5.951243877410896, 2.832164764404297]
[6.066180324554445, 2.8477096557617188]
[6.190503120422363, 2.8563785552978516]
[6.314773273468013, 2.8658580780029297]
[6.4486681938171415, 2.8780555725097656]
[6.573045349121088, 2.8981685638427734]
[6.706988239288329, 2.9128646850585938]
[6.840960311889646, 2.9220962524414062]
[6.975006580352783, 2.956218719482422]
[7.10926446914673, 2.963705062866211]
[7.262269020080559, 2.978200912475586]
[7.425004196166995, 2.994871139526367]
[7.578178787231451, 3.0144405364990234]
[7.750625038146971, 3.0307579040527344]
[7.92294721603394, 3.0515384674072266]
[8.104727268219001, 3.0754947662353516]
[8.296233749389643, 3.086729049682617]
[8.497131919860834, 3.1134605407714844]
[8.688482189178465, 3.129606246948242]
[8.879851436614992, 3.1407737731933594]
[9.090428829193115, 3.141632080078125]
[9.300723171234132, 3.1554317474365234]
[9.491880130767818, 3.163442611694336]
[9.702409648895262, 3.174600601196289]
[9.922354030609135, 3.193540573120117]
[10.142225360870363, 3.212270736694336]
[10.371955871582031, 3.217601776123047]
[10.601452064514163, 3.225879669189453]
[10.831115150451652, 3.2480812072753906]
[11.070233440399164, 3.2706546783447266]
[11.309517478942873, 3.2810401916503906]
[11.548695659637453, 3.297548294067383]
[11.777984428405759, 3.3118057250976562]
[12.007535076141352, 3.3208751678466797]
[12.227287292480469, 3.3307838439941406]
[12.428417015075688, 3.337688446044922]
[12.62925806045532, 3.338489532470703]
[12.829777717590325, 3.3460140228271484]
[13.011487197875972, 3.3576297760009766]
[13.183536243438716, 3.369598388671875]
[13.374751663208002, 3.3761215209960938]
[13.556183147430417, 3.3865833282470703]
[13.728249740600582, 3.393983840942383]
[13.900240898132317, 3.400278091430664]
[14.072125339508048, 3.4114837646484375]
[14.25369062423706, 3.4206581115722656]
[14.416139030456549, 3.419485092163086]
[14.59744148254395, 3.424854278564453]
[14.76951894760132, 3.4300804138183594]
[14.941511917114255, 3.4307384490966797]
[15.132767963409421, 3.4351730346679688]
[15.295259284973149, 3.4419631958007812]
[15.48641061782837, 3.4496593475341797]
[15.668355464935296, 3.4526538848876953]
[15.869394302368157, 3.460817337036133]
[16.051268768310543, 3.4661102294921875]
[16.25243177413941, 3.468351364135742]
[16.453631687164304, 3.4715938568115234]
[16.654702663421638, 3.4775257110595703]
[16.855955314636233, 3.4839439392089844]
[17.076274776458746, 3.486471176147461]
[17.27729263305664, 3.4967041015625]
[17.48803396224975, 3.504648208618164]
[17.71791124343872, 3.517017364501953]
