[-0.00043764114379740704, 0.0004291534423828125]
[-0.0003746032714744274, 0.00949859619140625]
[-0.01002855300902894, -0.000705718994140625]
[-0.010084438323971767, -0.003452301025390625]
[-0.019530868530260648, 0.00667572021484375]
[-0.029083061218258877, -0.0005626678466796875]
[-0.03856220245361186, -0.00942230224609375]
[-0.029074287414545097, 0.00072479248046875]
[-0.03861246109008931, 0.0029754638671875]
[-0.04792718887328817, -0.006275177001953125]
[-0.07674818038939435, 0.000438690185546875]
[-0.06725072860717773, 0.009403228759765625]
[-0.06736164093016583, -0.0007152557373046875]
[-0.06745986938476278, -0.003299713134765625]
[-0.06745986938476278, 0.0069522857666015625]
[-0.06739425659179688, -0.000553131103515625]
[-0.07689981460571005, -0.0093841552734375]
[-0.0674106597900348, 0.000743865966796875]
[-0.07698926925658611, 0.0028228759765625]
[-0.0767553329467745, -0.0065326690673828125]
[-0.07684516906738992, 0.000438690185546875]
[-0.0768033027648869, 0.009355545043945312]
[-0.06740674972533611, -0.0007343292236328125]
[-0.05769767761229616, -0.0031566619873046875]
[-0.04842100143432759, 0.007228851318359375]
[-0.048471260070805045, -0.00057220458984375]
[-0.038830089569088955, -0.00934600830078125]
[-0.039109516143795986, 0.000782012939453125]
[-0.04869766235351847, 0.00263214111328125]
[-0.038921070098879795, -0.0068187713623046875]
[-0.04851999282836772, 0.0005054473876953125]
[-0.05813245773315856, 0.009298324584960938]
[-0.06746511459350302, -0.000762939453125]
[-0.05789575576781658, -0.0029850006103515625]
[-0.07693157196044353, 0.0075244903564453125]
[-0.06729717254638246, -0.00057220458984375]
[-0.06720418930053995, -0.009241104125976562]
[-0.05771274566649964, 0.00080108642578125]
[-0.07668857574462606, 0.00247955322265625]
[-0.04793739318847656, -0.0070858001708984375]
[-0.04794816970824911, 0.000514984130859375]
[-0.04794778823852397, 0.009164810180664062]
[-0.03841352462767844, -0.0007915496826171875]
[-0.03831996917724467, -0.002841949462890625]
[-0.02881212234496644, 0.0077342987060546875]
[-0.028976535797113456, -0.000591278076171875]
[-0.0288763999938908, -0.009145736694335938]
[-0.029137420654294033, 0.0008392333984375]
[-0.029057121276849784, 0.0023365020751953125]
[-0.019651126861568002, -0.007305145263671875]
[-0.019484138488770952, 0.0005245208740234375]
[-0.019576454162596235, 0.009069442749023438]
[-0.00047245025634623516, -0.000820159912109375]
[-0.00048713684082457576, -0.0026798248291015625]
[-0.0005742073059096242, 0.007982254028320312]
[-0.0006113052368164062, -0.0006008148193359375]
[-0.010243797302244673, -0.00904083251953125]
[-0.010297298431396484, 0.00087738037109375]
[-0.01039152145385458, 0.0021266937255859375]
[-0.01961879730224325, -0.007572174072265625]
[-0.019681835174559126, 0.000553131103515625]
[-0.0292883872985783, 0.0089263916015625]
[-0.029336643218996983, -0.0008392333984375]
[-0.019686603546141157, -0.002498626708984375]
[-0.03909721374510866, 0.008220672607421875]
[-0.048696041107177734, -0.000591278076171875]
[-0.03904762268066264, -0.008916854858398438]
[-0.03915033340454244, 0.0009250640869140625]
[-0.058408355712892046, 0.0019550323486328125]
[-0.04861307144165039, -0.007829666137695312]
[-0.03910713195800497, 0.0005340576171875]
[-0.029581642150880327, 0.008802413940429688]
[-0.029608345031739702, -0.000896453857421875]
[-0.039317798614504795, -0.0023555755615234375]
[-0.0393102645873995, 0.00843048095703125]
[-0.0394224166870103, -0.0006103515625]
[-0.029726123809815874, -0.008802413940429688]
[-0.02993450164795064, 0.000972747802734375]
[-0.02992048263550373, 0.001811981201171875]
[-0.020359134674080792, -0.008039474487304688]
[-0.029784393310549717, 0.0005435943603515625]
[-0.0298004150390625, 0.008687973022460938]
[-0.039342212677006216, -0.0009250640869140625]
[-0.029718971252449933, -0.0021839141845703125]
[-0.02962884902953533, 0.008649826049804688]
[-0.03926687240600302, -0.0006103515625]
[-0.029580974578863106, -0.008668899536132812]
[-0.03941144943237873, 0.0010204315185546875]
[-0.048791980743409624, 0.0016021728515625]
[-0.02962884902953533, -0.008287429809570312]
[-0.0200926780700712, 0.0005626678466796875]
[-0.019990921020507812, 0.008516311645507812]
[-0.019746208190916548, -0.000972747802734375]
[-0.019720649719239702, -0.002040863037109375]
[-0.0006031036377009968, 0.008878707885742188]
[-0.010235214233389911, -0.000591278076171875]
[0.009136676788337184, -0.00850677490234375]
[0.018531894683832206, 0.001087188720703125]
[0.008966636657717686, 0.0014781951904296875]
[0.018495941162107954, -0.008487701416015625]
[0.028176689147954903, 0.0005817413330078125]
[0.01866197586060281, 0.008392333984375]
[0.018629264831538705, -0.0010395050048828125]
[0.018588161468500175, -0.001888275146484375]
[0.018411636352531957, 0.00904083251953125]
[0.009146881103504256, -0.0006008148193359375]
[0.018671894073484907, -0.008373260498046875]
[0.009093284606926488, 0.001163482666015625]
[0.009126853942859725, 0.001316070556640625]
[0.009253406524656782, -0.00865936279296875]
[0.01867704391479208, 0.00057220458984375]
[0.018586063385008345, 0.008249282836914062]
[0.01868877410888814, -0.0010967254638671875]
[0.018598079681396484, -0.00171661376953125]
[0.018473529815672407, 0.0092315673828125]
[0.027967929840094996, -0.0006008148193359375]
[0.028176307678222656, -0.00823974609375]
[0.01859054565429119, 0.0012302398681640625]
[0.01857061386107972, 0.0011539459228515625]
[0.028211879730228873, -0.00888824462890625]
[0.028120899200445137, 0.00057220458984375]
[0.0280945777893038, 0.00804901123046875]
[0.01848926544189311, -0.0011730194091796875]
[0.02789421081543253, -0.001583099365234375]
[0.00885715484619709, 0.0093841552734375]
[0.01834545135498189, -0.000591278076171875]
[0.018453121185302734, -0.008058547973632812]
[0.02797927856445881, 0.0013256072998046875]
[0.056814289093011894, 0.0010395050048828125]
[0.07591772079467773, -0.009031295776367188]
[0.09494256973267312, 0.000591278076171875]
[0.11412229537964436, 0.007915496826171875]
[0.14268331527709677, -0.00125885009765625]
[0.18093671798705913, -0.0014591217041015625]
[0.19999265670776367, 0.009555816650390625]
[0.21910257339477113, -0.000591278076171875]
[0.23838014602661417, -0.008411407470703125]
[0.2669500350952063, 0.0014400482177734375]
[0.2764255523681669, 0.000934600830078125]
[0.28611574172973775, -0.009508132934570312]
[0.2957308769226046, 0.0005817413330078125]
[0.3053317070007395, 0.007991790771484375]
[0.3341236114501953, 0.028924942016601562]
[0.36290864944457724, 0.06632804870605469]
[0.3818936347961497, 0.20109176635742188]
[0.42024650573730327, 0.5480098724365234]
[0.4489505767822237, 0.6279087066650391]
