6.3385375,[-0.80380017  0.52353781 -0.43934125],[-0.18245201 -0.04302446 -0.39261091]
6.3468386,[-0.80414617  0.52525479 -0.43919915],[-0.1824584  -0.0429926  -0.39268646]
6.3540235,[-0.80459386  0.5270896  -0.43896753],[-0.18247837 -0.04299657 -0.39277309]
6.3614274,[-0.80502915  0.52909577 -0.43877807],[-0.18248805 -0.04306573 -0.39283869]
6.3681776,[-0.80528343  0.5301435  -0.43869686],[-0.1824916  -0.04313757 -0.39286628]
6.3759812,[-0.80573845  0.53235042 -0.43854517],[-0.18248123 -0.0432076  -0.39289948]
6.3831344,[-0.80624139  0.53465134 -0.43837902],[-0.18240087 -0.04338382 -0.39296821]
6.3905203,[-0.80669659  0.53705287 -0.43825933],[-0.18241711 -0.04336429 -0.39294016]
6.3972636,[-0.80691868  0.53824878 -0.43821567],[-0.18241358 -0.04323046 -0.39297122]
6.4053189,[-0.80739766  0.54072404 -0.43813229],[-0.18240163 -0.04322995 -0.39297298]
6.4121495,[-0.80782694  0.54320931 -0.43803045],[-0.18238592 -0.04313729 -0.39271212]
6.4197205,[-0.80831814  0.54565829 -0.43788639],[-0.18239029 -0.04313476 -0.39270011]
6.4265011,[-0.80853581  0.54685307 -0.43783185],[-0.18238637 -0.0431408  -0.39272487]
6.4354247,[-0.80903852  0.54925108 -0.43769711],[-0.18239047 -0.04311345 -0.39272135]
6.4430725,[-0.80954772  0.55155689 -0.43757886],[-0.1823765  -0.04312048 -0.39274523]
6.4514934,[-0.81004745  0.55380255 -0.4374567 ],[-0.18238264 -0.04315308 -0.39273956]
6.4595827,[-0.81061995  0.55599445 -0.43734333],[-0.18238515 -0.04316383 -0.3927258 ]
6.4677527,[-0.81112164  0.5580833  -0.43727207],[-0.18239325 -0.04316129 -0.39269519]
6.4748644,[-0.81161457  0.56011939 -0.43719256],[-0.18239161 -0.04311424 -0.39268982]
6.4820601,[-0.81213385  0.56208467 -0.4371416 ],[-0.18238193 -0.04310237 -0.39268911]
6.4889717,[-0.81235033  0.56303757 -0.43711522],[-0.18238413 -0.04310197 -0.39268136]
6.4969202,[-0.81275046  0.56488663 -0.43710664],[-0.18239523 -0.04311693 -0.3926599 ]
